Id,SalePrice
1461,120463.883294
1462,161165.590695
1463,187830.86222
1464,196490.822839
1465,191702.680488
1466,172620.37183
1467,176089.156542
1468,164353.10737
1469,183891.489694
1470,123275.319199
1471,196416.945944
1472,94246.9657816
1473,95419.1048353
1474,148993.193591
1475,112819.396961
1476,383069.422545
1477,249071.430154
1478,284891.716822
1479,285386.784312
1480,501340.547136
1481,318228.005796
1482,205503.907429
1483,178060.547247
1484,166102.153426
1485,182316.596692
1486,197077.250848
1487,339987.807498
1488,228355.971624
1489,198869.593254
1490,237264.225716
1491,192674.013715
1492,91658.0771672
1493,175960.598023
1494,293626.602209
1495,283744.973334
1496,240786.749947
1497,182036.590546
1498,164969.81937
1499,159956.335045
1500,157430.018309
1501,177195.543051
1502,142826.802068
1503,288086.305483
1504,238668.797927
1505,225654.36167
1506,185939.955379
1507,252756.328949
1508,197996.12707
1509,160306.124329
1510,144562.869855
1511,149707.368609
1512,175022.601607
1513,143815.007418
1514,157021.454563
1515,196434.400798
1516,150783.191706
1517,162780.496598
1518,131241.213818
1519,220695.218284
1520,130942.111332
1521,135224.897163
1522,172712.161337
1523,113767.889441
1524,125253.457877
1525,122164.683541
1526,110903.989442
1527,102064.474831
1528,132356.561489
1529,150860.541285
1530,171835.680823
1531,104913.007962
1532,96400.9742945
1533,148130.536075
1534,126727.899523
1535,151192.175556
1536,107779.22474
1537,60556.7570908
1538,147049.552491
1539,193219.857913
1540,96198.8139295
1541,141493.505569
1542,141782.13405
1543,202250.100185
1544,79923.3651317
1545,110254.789453
1546,131642.262665
1547,135502.138447
1548,137188.561436
1549,113847.014748
1550,134153.618601
1551,109325.209437
1552,137611.018855
1553,152312.302896
1554,112299.168495
1555,164151.57232
1556,81714.8872161
1557,107492.061018
1558,99330.5520325
1559,71696.736431
1560,130611.954573
1561,132776.27374
1562,129768.548303
1563,120298.562586
1564,163939.102449
1565,147084.34558
1566,234489.224357
1567,73835.8129031
1568,233678.447912
1569,135183.308557
1570,136444.34358
1571,119934.324038
1572,145873.2864
1573,245864.168678
1574,115716.064324
1575,224355.356616
1576,246010.897779
1577,188177.1364
1578,143821.885713
1579,146826.522942
1580,192794.338302
1581,150827.876996
1582,125063.283506
1583,314672.78174
1584,224174.307673
1585,140684.338194
1586,67876.8763999
1587,98967.308294
1588,150396.349549
1589,100370.871946
1590,135829.558999
1591,94204.0086739
1592,117599.435944
1593,124603.399883
1594,133195.985547
1595,108349.551669
1596,233524.317587
1597,189928.225839
1598,214327.13261
1599,166384.238345
1600,164538.75132
1601,64757.0016304
1602,112885.086502
1603,81320.6712621
1604,265679.644545
1605,240872.932715
1606,168473.607724
1607,167207.389133
1608,214662.494669
1609,186033.148156
1610,151666.024359
1611,138436.762442
1612,170688.579641
1613,166120.126909
1614,124071.095895
1615,88518.5712873
1616,74150.0480306
1617,92449.4522819
1618,125975.570723
1619,139890.974037
1620,156252.020594
1621,139989.944674
1622,140188.990615
1623,263283.234826
1624,213684.921395
1625,119607.297761
1626,160899.265038
1627,192647.154254
1628,268525.23735
1629,175783.419815
1630,374731.681652
1631,217878.446338
1632,239421.809995
1633,169516.261194
1634,187758.340423
1635,176885.800871
1636,154083.580742
1637,201133.664752
1638,182779.870786
1639,183046.640508
1640,256888.590414
1641,176093.304595
1642,236250.002417
1643,218190.331042
1644,229062.79045
1645,199271.42901
1646,158139.733208
1647,155978.602579
1648,131958.468262
1649,138880.969346
1650,113072.654996
1651,121744.08708
1652,95782.9276736
1653,97571.3216856
1654,145211.101268
1655,139886.372405
1656,143005.412228
1657,147894.780933
1658,143897.550951
1659,118755.803837
1660,155076.43488
1661,472060.584671
1662,400848.110836
1663,393908.234147
1664,493656.030622
1665,314378.991106
1666,328978.934272
1667,386678.637811
1668,345533.885278
1669,295111.718031
1670,355233.998493
1671,260566.894244
1672,451152.602445
1673,292019.207243
1674,236416.684041
1675,194505.336803
1676,194842.433274
1677,220542.121185
1678,473038.111661
1679,400959.535008
1680,346304.004658
1681,247527.874823
1682,300403.901444
1683,180103.811448
1684,170817.756735
1685,172355.508416
1686,168194.478373
1687,167410.365431
1688,191475.435688
1689,193806.229564
1690,193878.095422
1691,180238.855764
1692,256741.845025
1693,166156.838634
1694,182610.048936
1695,161913.784953
1696,274473.492447
1697,166795.734041
1698,355704.0333
1699,322699.00231
1700,252774.241099
1701,265852.516994
1702,247605.588492
1703,246122.067891
1704,279815.263396
1705,230975.156672
1706,448130.727816
1707,218215.999679
1708,205317.490587
1709,266662.850782
1710,219909.003114
1711,264778.299969
1712,263448.574564
1713,280488.521992
1714,223495.394031
1715,204779.449582
1716,183700.039969
1717,170604.2614
1718,133321.357585
1719,201503.404066
1720,241195.909824
1721,163990.604826
1722,123886.658034
1723,155676.229929
1724,210055.034005
1725,238902.872377
1726,187783.801514
1727,159853.38943
1728,176304.276985
1729,170240.105054
1730,156042.94489
1731,121365.575242
1732,128113.485192
1733,117974.641625
1734,121402.966472
1735,127555.541735
1736,111332.322287
1737,296488.884982
1738,233282.722864
1739,269224.572018
1740,228415.9814
1741,195983.33024
1742,174665.708164
1743,175365.405296
1744,304555.526435
1745,226404.0484
1746,172428.327825
1747,213496.692111
1748,227117.889826
1749,148218.461644
1750,125858.618118
1751,244384.476892
1752,117704.829129
1753,150139.031223
1754,182958.912213
1755,168404.911119
1756,126905.241195
1757,122171.764268
1758,145940.763032
1759,160610.290846
1760,165300.899304
1761,144005.995328
1762,179864.050005
1763,174282.631165
1764,113653.130684
1765,168512.218547
1766,180265.097806
1767,218971.07223
1768,143515.056917
1769,174322.0717
1770,146561.113618
1771,121307.580826
1772,133794.473822
1773,129814.450702
1774,136022.815542
1775,138470.351062
1776,125032.645997
1777,114840.020893
1778,138632.849529
1779,116838.664011
1780,173909.49141
1781,129867.627032
1782,85000.2039491
1783,143835.91615
1784,104554.671905
1785,122474.653518
1786,132399.204396
1787,165863.759097
1788,56846.6693798
1789,96987.5948171
1790,76041.6060055
1791,183995.863738
1792,160921.139546
1793,127918.273759
1794,147316.133956
1795,135181.314687
1796,119571.295462
1797,114219.881553
1798,122879.85447
1799,109012.595751
1800,130637.963611
1801,131104.517587
1802,126736.032865
1803,147730.43467
1804,144315.289423
1805,135726.214366
1806,123168.996135
1807,128418.17887
1808,118360.769854
1809,122607.284869
1810,139585.754807
1811,99308.5579796
1812,97895.6759765
1813,122895.228172
1814,96289.5689972
1815,53372.6611718
1816,98425.1008093
1817,107861.162412
1818,149490.25131
1819,122287.851934
1820,55782.700918
1821,111268.278323
1822,148284.575131
1823,45999.5683867
1824,133619.385817
1825,132818.806649
1826,102653.459799
1827,101511.368141
1828,134655.696718
1829,115877.880616
1830,141904.058771
1831,145180.949282
1832,76988.6943793
1833,140388.982165
1834,118025.808918
1835,119299.40787
1836,127473.032524
1837,89372.1177915
1838,123785.879304
1839,93176.1214195
1840,148005.499447
1841,135922.881391
1842,83150.7938688
1843,129302.524496
1844,132776.452908
1845,138681.935362
1846,154240.291892
1847,165831.228904
1848,54348.7929552
1849,113226.884001
1850,115255.166387
1851,156691.134596
1852,124548.380501
1853,130228.246589
1854,168343.727212
1855,151487.818344
1856,222917.625981
1857,155865.850602
1858,139506.358473
1859,116059.295147
1860,149645.103182
1861,116904.446849
1862,298657.873947
1863,285031.617718
1864,285278.323632
1865,336668.791432
1866,337904.666211
1867,230371.665484
1868,305102.424408
1869,202467.185613
1870,228778.921543
1871,246774.484312
1872,171870.738583
1873,238615.652592
1874,147769.602135
1875,197354.053831
1876,196966.342672
1877,211531.410964
1878,205264.37193
1879,127379.857101
1880,133469.345903
1881,245475.562982
1882,248686.246877
1883,188903.647882
1884,206382.379618
1885,238182.570677
1886,294875.165776
1887,208364.684323
1888,270278.679646
1889,166839.618174
1890,119568.732535
1891,132358.663529
1892,99891.5288142
1893,132021.18267
1894,127123.403242
1895,133787.715719
1896,126777.484207
1897,114442.88675
1898,111421.117495
1899,154228.580925
1900,144252.003251
1901,174474.183982
1902,149148.790025
1903,211400.144539
1904,140356.566989
1905,196547.720664
1906,162737.366386
1907,206853.321855
1908,107536.638104
